Name,RA,Dec,Object Type ,RA (deg),Dec (deg)
V1033 Cen ,11:41:22.71,-64:10:14.60,am ,175.34462499999998,-64.17072222222222
MT Cen ,11:44:00.50,-60:33:34.00,n ,176.0020833333333,-60.559444444444445
SW Crt ,11:52:25.45,-24:31:01.20,non-cv ,178.10604166666667,-24.517
V1040 Cen ,11:55:26.72,-56:41:52.00,ugsu ,178.8613333333333,-56.69777777777777
LZ Mus ,11:56:08.96,-65:34:20.70,na ,179.03733333333332,-65.57241666666667
V359 Cen ,11:58:15.33,-41:46:08.40,ugsu ,179.56387499999997,-41.769
Crv ,11:58:34.51,-22:33:33.50,cv ,179.64379166666666,-22.559305555555557
V395 Hya ,12:01:24.38,-31:59:26.80,ux ,180.35158333333334,-31.99077777777778
DI Cru ,12:05:18.73,-62:03:10.20,nlv ,181.32804166666665,-62.05283333333333
CP Cru ,12:10:31.33,-61:45:09.70,na ,182.63054166666663,-61.752694444444444
MU Cen ,12:12:53.88,-44:28:16.10,ugSS ,183.22449999999995,-44.47113888888889
TV Crv ,12:20:24.17,-18:27:01.90,ugsu ,185.10070833333333,-18.450527777777776
Cru ,12:23:16.20,-60:22:34.00,n ,185.81749999999997,-60.376111111111115
V373 Cen ,12:26:05.04,-45:49:30.10,ug ,186.521,-45.825027777777784
AP Cru ,12:31:20.43,-64:26:24.70,n/dq ,187.835125,-64.44019444444444
V1025 Cen ,12:38:16.38,-38:42:46.00,dq ,189.56824999999998,-38.71277777777778
Hya ,12:39:58.78,-30:29:15.70,UG ,189.99491666666665,-30.487694444444447
V591 Cen ,12:42:18.10,-33:34:10.40,non-cv ,190.57541666666665,-33.56955555555556
EX Hya ,12:52:24.22,-29:14:56.00,ug/dq ,193.10091666666665,-29.24888888888889
LW Hya ,12:53:32.86,-22:52:22.30,non-cv ,193.38691666666662,-22.87286111111111
V485 Cen ,12:57:23.22,-33:12:05.60,ugsu ,194.34674999999996,-33.20155555555556
Cen ,13:00:29.07,-30:52:56.60,cv ,195.12112499999998,-30.88238888888889
V888 Cen ,13:02:31.80,-60:11:36.00,na ,195.63249999999996,-60.19333333333333
V396 Hya ,13:12:46.44,-23:21:32.70,ibwd ,198.19349999999997,-23.359083333333334
WX Cen ,13:12:52.38,-63:23:45.90,nlv ,198.21824999999995,-63.39608333333333
V1043 Cen ,13:13:17.14,-32:59:12.20,am ,198.32141666666666,-32.98672222222223
V812 Cen ,13:13:54.30,-57:40:44.00,n ,198.47624999999996,-57.678888888888885
NN Cen ,13:14:15.38,-60:52:44.40,ugss ,198.5640833333333,-60.879
V840 Cen ,13:20:49.25,-55:50:12.80,non-cv ,200.20520833333333,-55.83688888888889
V1047 Cen ,13:20:49.74,-62:37:50.50,n ,200.20725,-62.630694444444444
V803 Cen ,13:23:44.54,-41:44:29.70,ibwd ,200.9355833333333,-41.74158333333333
Cen ,13:26:26.61,-47:26:35.10,ug ,201.610875,-47.44308333333333
Cen ,13:26:38.26,-47:19:57.00,cv ,201.65941666666666,-47.3325
Cen ,13:26:52.10,-47:29:36.20,cv ,201.7170833333333,-47.49338888888889
Cen ,13:26:53.50,-47:29:01.00,cv ,201.72291666666663,-47.48361111111111
BV Cen ,13:31:19.48,-54:58:33.50,ug ,202.83116666666666,-54.975972222222225
LY Hya ,13:31:53.86,-29:40:59.40,ug ,202.97441666666666,-29.68316666666667
Mus ,13:35:29.91,-64:45:42.60,non-cv ,203.87462499999998,-64.76183333333333
V890 Cen ,13:49:31.80,-47:54:40.00,nl ,207.38249999999996,-47.91111111111111
V868 Cen ,13:50:10.60,-63:08:52.00,n ,207.54416666666665,-63.147777777777776
V891 Cen ,13:50:29.20,-48:02:50.00,nl ,207.62166666666664,-48.04722222222222
V1039 Cen ,13:55:41.23,-64:15:57.10,na ,208.92179166666665,-64.26586111111111
BW Cir ,13:58:09.92,-64:44:04.90,non-cv ,209.5413333333333,-64.73469444444444
V834 Cen ,14:09:07.30,-45:17:16.20,am ,212.28041666666664,-45.28783333333333
V504 Cen ,14:12:49.10,-40:21:36.80,vy ,213.2045833333333,-40.36022222222223
Cir ,14:13:12.30,-65:20:13.00,am ,213.30124999999998,-65.33694444444444
V895 Cen ,14:29:27.22,-38:04:09.50,am ,217.3634166666666,-38.06930555555556
GY Hya ,14:30:30.47,-25:52:38.00,ug ,217.6269583333333,-25.877222222222223
HY Lup ,14:31:50.21,-51:10:32.30,n ,217.95920833333332,-51.175638888888884
V842 Cen ,14:35:52.55,-57:37:35.30,n ,218.96895833333332,-57.626472222222226
X Cir ,42:44.00,-65:12:27.00,nb ,,
BY Cir ,14:44:53.46,-63:53:55.80,n ,221.22274999999996,-63.898833333333336
AR Cir ,14:48:09.53,-60:00:27.50,n ,222.03970833333332,-60.00763888888889
Lib3 ,14:50:38.62,-24:22:50.00,ux ,222.66091666666665,-24.380555555555556
EK TrA ,15:14:00.90,-65:05:35.00,ugsu ,228.50374999999994,-65.09305555555555
DE Cir ,15:17:52.48,-61:57:16.40,n ,229.46866666666662,-61.95455555555556
GW Lib ,15:19:55.43,-25:00:25.30,ugwz ,229.98095833333332,-25.00702777777778
IL Nor ,15:29:23.12,-50:35:00.00,nb ,232.3463333333333,-50.583333333333336
BR Lup ,35:53.00,-40:34:06.00,ugsu ,,
IM Nor ,15:39:26.47,-52:19:18.00,nrb ,234.86029166666663,-52.32166666666667
V344 Nor ,15:40:30.58,-51:12:55.50,non-cv ,235.12741666666662,-51.21541666666667
Lup ,15:48:14.59,-45:28:40.50,dq ,237.06079166666666,-45.477916666666665
AB Nor ,15:49:15.48,-43:04:48.70,ugsu ,237.31449999999998,-43.080194444444444
Nor ,16:00:47.43,-48:46:07.60,ugwz ,240.197625,-48.76877777777778
V345 Nor ,16:06:44.59,-52:03:01.90,non-cv ,241.6857916666667,-52.05052777777777
V341 Nor ,16:13:44.40,-53:19:08.00,n ,243.43499999999995,-53.31888888888889
V893 Sco ,16:15:14.98,-28:37:32.10,ug ,243.81241666666662,-28.625583333333335
