sourceid,uniqueid,tic_id,ra,dec,tic_tmag,cv_prob,composite_score,tess_sectors,target,Observable In Cycle 8,Edge Warning,Separation_1,Long.,Lat.,Sector,Camera,CCD,Col,Row,midpoint,GroupID,GroupSize,Separation
11251759136861,36861000085102,1.240477493E9,241.6865744242853,-52.043541682501576,17.3972,0.90323836,0.05191860529280574,,TIC 1240477493.0,true,false,0.0,250.2034,-30.5325,12,2,4,500.1466,120.4868,June 2019,17,5,0.16378434675318448
11251759136861,36861000085102,1.240477493E9,241.6865744242853,-52.043541682501576,17.3972,0.90323836,0.05191860529280574,,TIC 1240477493.0,true,false,0.0,250.2034,-30.5325,39,2,4,1370.0509,162.8401,June 2021,17,5,0.16378434675318448
11251759136861,36861000085102,1.240477493E9,241.6865744242853,-52.043541682501576,17.3972,0.90323836,0.05191860529280574,,TIC 1240477493.0,true,false,0.0,250.2034,-30.5325,65,1,2,1867.4016,18.5187,May 2023,17,5,0.16378434675318448
11251759136861,36861000085102,1.240477493E9,241.6865744242853,-52.043541682501576,17.3972,0.90323836,0.05191860529280574,,TIC 1240477493.0,true,false,0.0,250.2034,-30.5325,102,2,3,262.237,1900.8705,April 2026,17,5,0.16378434675318448
11251759136861,36861000085102,1.240477493E9,241.6865744242853,-52.043541682501576,17.3972,0.90323836,0.05191860529280574,,TIC 1240477493.0,true,false,0.0,250.2034,-30.5325,103,1,1,1821.2944,1177.5697,May 2026,17,5,0.16378434675318448
11833841005561,5561000107515,3.81633115E8,182.64393068007527,-61.75380687134876,19.1091,0.91790104,0.048034760402112076,,TIC 381633115.0,true,false,0.0,218.0813,-53.0868,10,3,1,84.8008,104.7062,April 2019,22,8,0.05872183340342395
11833841005561,5561000107515,3.81633115E8,182.64393068007527,-61.75380687134876,19.1091,0.91790104,0.048034760402112076,,TIC 381633115.0,true,false,0.0,218.0813,-53.0868,11,2,1,1326.0793,116.1559,May 2019,22,8,0.05872183340342395
11833841005561,5561000107515,3.81633115E8,182.64393068007527,-61.75380687134876,19.1091,0.91790104,0.048034760402112076,,TIC 381633115.0,true,false,0.0,218.0813,-53.0868,37,2,2,1341.6929,37.5298,April 2021,22,8,0.05872183340342395
11833841005561,5561000107515,3.81633115E8,182.64393068007527,-61.75380687134876,19.1091,0.91790104,0.048034760402112076,,TIC 381633115.0,true,false,0.0,218.0813,-53.0868,38,2,1,692.2383,6.5611,May 2021,22,8,0.05872183340342395
11833841005561,5561000107515,3.81633115E8,182.64393068007527,-61.75380687134876,19.1091,0.91790104,0.048034760402112076,,TIC 381633115.0,true,false,0.0,218.0813,-53.0868,64,2,2,695.6107,387.9051,April 2023,22,8,0.05872183340342395
11833841005561,5561000107515,3.81633115E8,182.64393068007527,-61.75380687134876,19.1091,0.91790104,0.048034760402112076,,TIC 381633115.0,true,false,0.0,218.0813,-53.0868,99,4,2,583.4449,259.6724,January 2026,22,8,0.05872183340342395
11833841005561,5561000107515,3.81633115E8,182.64393068007527,-61.75380687134876,19.1091,0.91790104,0.048034760402112076,,TIC 381633115.0,true,false,0.0,218.0813,-53.0868,100,3,2,756.544,1553.3698,February 2026,22,8,0.05872183340342395
11833841005561,5561000107515,3.81633115E8,182.64393068007527,-61.75380687134876,19.1091,0.91790104,0.048034760402112076,,TIC 381633115.0,true,false,0.0,218.0813,-53.0868,101,2,1,231.9537,1009.3068,March 2026,22,8,0.05872183340342395
9917462023764,23764000049808,5.5833822E7,271.9620810818148,-35.17367168554693,14.3113,0.9684872,0.06767290183281743,,TIC 55833822.0,true,false,0.0,271.638,-11.7455,13,1,4,1591.4471,1049.3846,July 2019,25,4,0.11120133635197185
9917462023764,23764000049808,5.5833822E7,271.9620810818148,-35.17367168554693,14.3113,0.9684872,0.06767290183281743,,TIC 55833822.0,true,false,0.0,271.638,-11.7455,66,1,3,1057.2856,796.1907,June 2023,25,4,0.11120133635197185
9917462023764,23764000049808,5.5833822E7,271.9620810818148,-35.17367168554693,14.3113,0.9684872,0.06767290183281743,,TIC 55833822.0,true,false,0.0,271.638,-11.7455,93,1,3,1137.0662,793.7345,June 2025,25,4,0.11120133635197185
9917462023764,23764000049808,5.5833822E7,271.9620810818148,-35.17367168554693,14.3113,0.9684872,0.06767290183281743,,TIC 55833822.0,true,false,0.0,271.638,-11.7455,104,1,3,576.2287,281.53,May 2026,25,4,0.11120133635197185
10253313012242,12242000066205,1.552527863E9,270.10844552899,-39.00957213658457,17.4983,0.9766896,0.05581625643633953,,TIC 1552527863.0,true,false,0.0,270.0875,-15.5703,13,1,4,1821.2718,1729.111,July 2019,28,10,0.1657281243661576
10253313012242,12242000066205,1.552527863E9,270.10844552899,-39.00957213658457,17.4983,0.9766896,0.05581625643633953,,TIC 1552527863.0,true,false,0.0,270.0875,-15.5703,39,1,3,332.5588,1734.3337,June 2021,28,10,0.1657281243661576
10253313012242,12242000066205,1.552527863E9,270.10844552899,-39.00957213658457,17.4983,0.9766896,0.05581625643633953,,TIC 1552527863.0,true,false,0.0,270.0875,-15.5703,66,1,3,1355.2251,1452.4749,June 2023,28,10,0.1657281243661576
